               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 142,            0.021802,            0.015106,           0.0056798,             0.91283,             0.99858,             0.98697,             0.88033,            0.012267,           0.0077507,           0.0050011,            0.005347,            0.005347,            0.005347
                 143,             0.02229,            0.016667,           0.0059354,             0.90952,             0.99182,             0.99326,             0.87229,            0.012835,           0.0082488,           0.0050652,            0.005314,            0.005314,            0.005314
                 144,             0.02101,            0.015451,           0.0060717,              0.9028,             0.99337,             0.99474,             0.90873,              0.0134,           0.0074811,           0.0053526,            0.005281,            0.005281,            0.005281
                 145,            0.020448,             0.01498,           0.0061284,             0.89878,             0.99583,             0.99478,              0.8982,             0.01282,           0.0065474,           0.0053451,            0.005248,            0.005248,            0.005248
                 146,            0.020533,            0.015185,           0.0057847,             0.89151,             0.99875,             0.98947,             0.90179,            0.012354,            0.005767,           0.0050979,            0.005215,            0.005215,            0.005215
                 147,            0.019807,            0.015252,           0.0061577,             0.90102,             0.99368,             0.98977,             0.90205,            0.012929,           0.0055998,           0.0048957,            0.005182,            0.005182,            0.005182
                 148,            0.020119,            0.014466,           0.0056337,             0.90074,             0.99384,             0.99182,             0.90498,            0.012496,           0.0062043,            0.004634,            0.005149,            0.005149,            0.005149
                 149,            0.019187,            0.014386,           0.0059032,             0.98764,             0.94083,             0.99453,              0.9146,            0.011995,           0.0061507,            0.004432,            0.005116,            0.005116,            0.005116
                 150,            0.020218,            0.013863,           0.0057811,             0.92272,             0.99536,             0.99479,             0.91415,            0.012335,           0.0068305,           0.0046069,            0.005083,            0.005083,            0.005083
                 151,            0.019837,            0.015359,           0.0066857,             0.91692,             0.99726,              0.9945,             0.89633,            0.012852,            0.006304,           0.0043587,             0.00505,             0.00505,             0.00505
                 152,            0.020592,            0.014612,           0.0057086,             0.91436,             0.99743,             0.99472,             0.91894,            0.012408,           0.0064096,           0.0042361,            0.005017,            0.005017,            0.005017
                 153,            0.019097,            0.014145,           0.0064735,             0.99255,             0.93109,             0.99419,             0.92373,            0.013318,           0.0061966,           0.0042661,            0.004984,            0.004984,            0.004984
                 154,            0.019942,            0.014454,           0.0060624,             0.91674,             0.99668,              0.9914,             0.91575,            0.012193,           0.0059344,           0.0045165,            0.004951,            0.004951,            0.004951
                 155,            0.020959,            0.015126,           0.0069657,             0.91398,             0.98991,             0.98893,             0.89502,            0.013366,           0.0059378,           0.0044968,            0.004918,            0.004918,            0.004918
                 156,            0.019425,            0.015183,           0.0059811,             0.90613,             0.99229,                0.99,             0.92621,            0.012332,           0.0056512,           0.0042731,            0.004885,            0.004885,            0.004885
